region_program_name,program_name,type,support,size,version,update_date,package_name,appid,developer,private_policy,permission,icon_url
好省,好省,时尚购物,手机,47.23M,5.0.2.0,2021-03-05,com.xiaoshijie.sqb,465518,杭州嘉洁网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b85746e18a603e3032c5d94518001fc9d6429c38
恒易贷,恒易贷,金融理财,手机,81.22M,3.7.2,2021-03-04,com.hengchang.client,444860,北京网众共创科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d16235c9a6624e922fed274c2213b5e951942c3d
安智市场,豌豆荚,实用工具,手机,14.29M,6.21.31,2020-11-24,com.wandoujia.phoenix2,2080,北京卓易讯畅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c64cd5c0f3344e7838627106d5d3b2ca853b58b2
借钱花吧,借钱花吧,金融理财,手机,20.7M,2.6.7,2021-01-06,com.rybring.huabei,433142,上海融宜网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05be9536c8dc8c41fe5f07544b6d80d5c304074ff
完美校园,完美校园,学习教育,手机,58.31M,5.3.6,2021-03-06,com.newcapec.mobile.ncp,76381,完美数联(杭州)科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08978f4fbc50e42672e905b8c10ac22dd988fe200
充多多,充多多,时尚购物,手机,14.04M,1.4.8,2021-02-01,com.recharge.many,680657,上海希幽信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/094e5e578320e45891c936a4e2be3a4df0f515bfb
影视大全,影视大全,影音视听,手机,51.7M,4.0.0,2021-03-15,com.le123.ysdq,62750,金华锦尚科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/071685462923cb9876ce2fdae79c605699a40c621
浅言,浅言,聊天社交,手机,67.15M,7.2.7,2021-03-05,com.zhy.qianyan,503291,上海渠杰信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06b0359ce7a70747c17ae64ad157a1752b440ce15
蚂蚁短租,蚂蚁短租,旅行交通,手机,53.95M,8.0.1,2021-01-04,com.mayi.android.shortrent,25653,北京裕山阳科技发展有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09f5c58c1f88cfe0e7529cdcd37a209ace440a393
有妖气漫画,有妖气漫画-雏蜂独家连载,图书阅读,手机,35.09M,5.6.0,2021-03-11,com.u17.comic.phone,3224,北京四月星空网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02f0153c89d3d5d38224d37afa0c91b0510412b9d
互助文档,互助文档,效率办公,手机,13.01M,5.17.1,2021-03-03,com.v.zy,39737,北京千阳远望信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07c725af19d3090ae6336274d10158f279d428be5
拾柒,拾柒,实用工具,手机,101.5M,5.9.5,2021-01-20,com.shiqichuban.android,425719,拾柒网络技术（北京）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c3e74d3e909631eebebb58df0aef8b02da4333b3
快剪辑,快剪辑,摄影摄像,手机,108.83M,5.3.6.1091,2021-01-19,com.qihoo.qeditor,577500,北京奇元科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02de8257e17214a3220801ce9cd2f9c1614d7d05b
Fit健身,Fit健身,体育运动,手机,62.34M,6.5.3,2021-02-25,com.sportq.fit,343628,上海去动网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0aab5e42ccabf45ba1347658060f4bb7fed5f9246
有信,有信,聊天社交,手机,26.37M,8.0.0,2021-03-01,com.yx,3569,深圳市有信网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b9a857b5522154a89dfe349cf1c2f9efd743338a
稿定设计(天天向商),稿定设计,摄影摄像,手机,111.16M,4.4.0,2021-02-07,com.hlg.daydaytobusiness,119182,厦门稿定股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/033fd5c9a56af43b59bbb794560d908bcfe40a18f
MAX+,Max+,聊天社交,手机,39.33M,4.4.30,2021-02-10,com.dotamax.app,97405,清枫(北京)科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/097206496526642580e6ff21900ac523b4de51583
藏书馆,藏书馆,图书阅读,手机,77.9M,6.1.7,2021-02-07,com.cliff,119356,厦门简帛云生态科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0893305f4009c497d281159ee9d4f866f144cd1d8
鲨鱼记账,鲨鱼记账,金融理财,手机,44.97M,3.42.1,2021-03-10,com.shark.jizhang,465860,鲨鱼快游网络技术（北京）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/018a250b874dd36b1a0bcb7758a6fbb45e741c1cd
VIP陪练,VIP陪练,学习教育,手机,134.95M,4.1.1,2021-03-01,com.pnlyy.pnlclass.pnlclass_student,464689,上海妙克信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09b194491716e4da804a9d689b07a5098a53d82d5
喝水时间,喝水时间,医疗健康,手机,15.37M,1.3.127,2021-02-21,com.szc.drinkwater,925917,合肥盛之昌网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0820d5216eb780d1cf3739a21fae82ce3e040aa45
超级课程表,超级课程表,学习教育,手机,60.36M,9.7.0.2,2021-01-07,com.xtuone.android.syllabus,13398,广州超级周末科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e71f14bdb068483639b92e753c4d3d1926e9346b
NGA玩家社区,NGA玩家社区,聊天社交,手机,30.75M,9.2.0,2021-03-05,gov.pianzong.androidnga,27306,北京月神之箭网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/03868740f7e784014013ff19474b8eceb145879bd
TutorABC,英语趣配音,学习教育,手机、平板,136.27M,7.39.0,2021-03-11,com.ishowedu.peiyin,77891,杭州菲助科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08b2ad599d6c04dc234477db3fcdd9a845ad7a6a3
小盒学生,小盒学生,学习教育,手机,45.3M,4.1.52,2021-03-03,com.knowbox.rc.student,759452,北京作业盒子科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0cf191d53280b4534a91b703d949d7d09b8729278
WIFI信号增强器,WiFi信号增强器,实用工具,手机,20.25M,4.2.7,2021-03-03,com.syezon.wifi,25490,杭州赛众信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e57c0482ce9e47a605e14508909e79b3dc60476e
有车以后,有车以后-买新车,新闻资讯,手机,61.85M,4.56.0,2021-03-12,com.youcheyihou.iyoursuv,315645,广州有车以后信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02a685333bc3f8277c09c80c64d675afcc242aa9f
乐教乐学,乐教乐学,学习教育,手机,134.38M,1.0.236,2021-03-13,com.lj.ljshell,84585,北京世纪飞育软件有限责任公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/000b8857f65f24dc019b67b9e7ea4717d4ce7cd6b
悟饭游戏厅,豌豆荚,实用工具,手机,14.29M,6.21.31,2020-11-24,com.wandoujia.phoenix2,2080,北京卓易讯畅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c64cd5c0f3344e7838627106d5d3b2ca853b58b2
租租车,租租车,旅行交通,手机,86.64M,5.4.210310,2021-03-11,com.zuzuChe,1345,广州力挚网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/01d34551b9336b9052cef20d4f341f463bf41d58d
1药网,1药网,医疗健康,手机,47.32M,6.1.4,2021-03-08,com.yiwang,888,广东壹号大药房连锁有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a0b545b6d991e196398de57e81e914d202426805
步多多,步多多,体育运动,手机,42.37M,1.7.1,2021-03-09,com.qsmy.walkmonkey,879226,上海序言泽网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08f284ea246fce71c8a15b91e814482cf9142fb38
千千音乐,千千音乐-听见你的世界,影音视听,手机,18.43M,8.2.3.3,2021-03-15,com.ting.mp3.android,9180,北京音之邦文化科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0179e54a73c6b4d8538e72a1422e2baa432e8d98d
WiFi管家,WiFi管家,实用工具,手机,14.47M,1.0.7,2020-09-30,com.sq.wifiapp,912656,上海泓永信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05dfb42f2e63167fb535c054e0e7c41897b4308ec
狐友,狐友,聊天社交,手机,41.7M,5.15.0,2021-02-07,com.sohu.sohuhy,630526,北京搜狐新媒体信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0485d4d53cef50a1d5d582d28a56263d95041e18c
小鹅花钱,小米贷款,金融理财,手机,56.44M,5.4.1.3561.1709,2021-03-04,com.xiaomi.loan,452551,上海小米金融信息服务有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/04b321507c38a4b6704b2cec9ac1e632ec18f0e0b
嘟嘟美女直播,蜜桃美女直播,影音视听,手机,75.11M,5.1.4,2021-03-12,com.jj.shows,255386,广州市九浚信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02b793957dd9840a381a902befe0644069ae3bb68
去哪儿网,去哪儿旅行,旅行交通,手机,60.81M,10.0.3,2021-03-04,com.Qunar,339,去哪儿网（天津）国际旅行社有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ac2c941f970e4bc716446340667a68d7902dfe60
39互联网医院,39互联网医院,医疗健康,手机,18.44M,0.5.11,2021-01-22,cn.longmaster.doctor,116968,贵阳叁玖互联网医疗有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0182f85157e534c75297a0af41392340303613923
储蓄罐,储蓄罐,金融理财,手机,36.02M,6.2.2,2020-12-16,howbuy.android.piggy,61973,上海好买基金销售有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ee1a41c53a6efc4957a1a450be9b966768410284
VISTA看天下,Vista看天下,图书阅读,手机,37.13M,2.21.1,2021-01-11,com.vistastory.news,434767,北京看天下网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09e84348116204a6a2b1b7d8a5b8563aa35e3b639
玩吧,玩吧,聊天社交,手机,92.7M,10.13.5,2021-03-04,com.wodi.who,195245,北京默契破冰科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0084343755ebe80cc880fa49732e5ed52aa433d93
迅雷直播,迅雷直播,影音视听,手机,40.63M,3.56.962,2021-03-05,com.xunlei.tdlive,454502,深圳市迅雷网文化有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d455a463655a4b5214e535b132833c24dbdf60db
360省电王,360省电王,实用工具,手机,15.2M,7.1.9,2021-02-02,com.qihoo360.mobilesafe.opti.powerctl,1283,成都安易迅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05fc8a40423b84f870232682c1e89a83d686a6558
多闪,多闪,摄影摄像,手机,53.64M,5.5.0,2021-03-09,my.maya.android,755595,北京拍拍看看科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/00a79408889f85e03590c8d55f158e4bcd140cbdd
和讯财经,和讯财经,新闻资讯,手机,32.63M,7.4.5,2021-03-11,com.hexun.news,1002,北京和讯在线信息咨询服务有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ebab34bcb96d49da076b6b622b01236b9ec9e0b2
乐游,随乐游,实用工具,手机,36.22M,3.1.1.014,2021-02-07,com.stnts.iyoucloud,820632,湖北盛天网络技术股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0fe9634d946a043610eac1700047fec00d7cea87b
完美世界影城,完美世界,网游RPG,手机,"1,763.33M",1.513.0,2021-03-10,com.tencent.wmsj,691418,腾讯游戏, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d4546c9f844c47ae917b5c4ead3565590bb6c58b
易乐玩,易乐,聊天社交,手机,44.75M,1.0.0,2020-12-22,com.baon.yileim,1292334,成都创生园环保科技有限责任公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0403a7406bb4647082eb636f69182395fad250652
小朋管家,小朋管家,时尚购物,手机,33.37M,3.2.0,2021-01-08,com.peng.xpgj,921529,深圳市小朋科技服务有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0535ef4cdda3a408b23130c934a15f653bd3e1d77
速聘58赶集网招聘,528招聘网,居家生活,手机,35.24M,9.3,2021-03-01,cn.com.wuerba,466013,深圳市万泉河科技股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0920f25e60e444c6909962088bbed92b7132e7f72
第一视频,第一视频,影音视听,手机,33.6M,9.1.1014,2021-01-26,com.v1.video,71782,第一视频（北京）网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/063154a28de16b29e900c4a0780d62933c5418c14
MUST,BTS舞蹈球,休闲创意,手机、平板,38.8M,1.0.1,2021-03-01,com.tpgaming.btsdancingroad.dbzq.m,791459,TPGAMING, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e4f35668b92a3dac65523e36941e5225e24266ba
Wifi密码读取器,WiFi密码查看器,实用工具,手机,8.9M,3.0.0,2021-02-08,com.rzwifi.password,105308,厦门蚂蚁工场信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/080ddf48f54df48790238a5faf279d388720b9ee1
小叶子陪练（钢琴陪练）,小叶子陪练,学习教育,手机、平板,65.7M,3.4.3,2020-11-24,com.xiaoyezi.student,619870,小叶子（北京）科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/03f66351e43634c5c11de587eb0222dc5c6245daf
